,TweetId
285,1036674198759006208
286,1036668763171635203
287,1036662884770693120
288,1036656633865224193
289,1036631986872377344
290,1036578658843078656
291,1036539354636865536
292,1036534384034230272
293,1036531026636328961
294,1036498634748116992
295,1036471240599498752
296,1036466630157467648
297,1036457588005777413
298,1036453109495545857
299,1036448691261825024
300,1036372433748615173
301,1036347906675105792
302,1036347601677889537
303,1036332808350752768
304,1036323919819620352
305,1036316496966938625
306,1036315215317671937
307,1036313526153998336
308,1036311281144344576
309,1036295821946306560
310,1036269215588659200
311,1036256419249573890
312,1036256053061660672
313,1036254228413444096
314,1036231943967268865
315,1036200906222694401
316,1036199087325028352
317,1036188962845601793
318,1036186672239714304
319,1036185305768964096
320,1036184861982121984
321,1036184575528128512
322,1036184021078827009
323,1036184003773194240
324,1036183116422041601
325,1036182688057765888
326,1036181518178246658
327,1036180767146233856
328,1036179312414810112
329,1036179005387558917
330,1036178491715276800
331,1036178320579342336
332,1036178059119022080
333,1036177580003483649
334,1036175182786949120
335,1036174254025400320
336,1036172971625328641
337,1036171926165704704
338,1036171678789914626
339,1036171644140761088
340,1036171598913519616
341,1036171118351196161
342,1036170237316493312
343,1036169903882088454
344,1036169555486359552
345,1036169397856071683
346,1036169156452904963
347,1036168506021163008
348,1036167581063737344
349,1036167439002873859
350,1036167162954694656
351,1036166832674295809
352,1036166408483348481
353,1036165226188533760
354,1036164959821094912
355,1036164865566621696
356,1036164067264737280
357,1036161587160199170
358,1036158836959264768
359,1036151400655478785
360,1035991342923431936
361,1035988183153094656
362,1035979123066208256
363,1035955426662273024
364,1035930516560666624
365,1035876609167908864
366,1039584690477256705
367,1039584685502939136
368,1039584678225866758
369,1039584655857668099
370,1039584650228912128
371,1039584628443688961
372,1039584627109683200
373,1039584588727820290
374,1039584580666355714
375,1039584579022151682
376,1039584553101393922
377,1039584548126969856
378,1039584543190204417
379,1039584539528577025
380,1039584537876029440
381,1039584525599367168
382,1039584500202778624
383,1039584475670360070
384,1039584460499570688
385,1039584454384201734
386,1039584426844409857
387,1039584423459672064
388,1039584413519147015
389,1039584395504627717
390,1039584385077522432
391,1039584362885537792
392,1039584357231603714
393,1039584349954473986
394,1039584347026862083
395,1039584335052107778
396,1039584312704815104
397,1039584286637219840
398,1039584283969683461
399,1039584266764673026
400,1039584245663051776
401,1039584239107354630
402,1039584213144612864
403,1039584207503351810
404,1039584206983180289
405,1039584166826967041
406,1039584165950377985
407,1039584159302393856
408,1039584152713080833
409,1039584130411819008
410,1039584071599288321
411,1039584070559092736
412,1039584035998031872
413,1039581028518522880
414,1039580335032426496
415,1039570341662617600
416,1039568680206655489
417,1039557916896813056
418,1039517860790394893
419,1039506729942171649
420,1039486218705154048
421,1039477841144868865
422,1039460556225294336
423,1039458051055644672
424,1039455247037386753
425,1039452044728315909
426,1039446944664309760
427,1039444709335281664
428,1039441729936654336
429,1039426847899971584
430,1039403483324194816
431,1039386983854891009
432,1039373357681061888
433,1039348438519795712
434,1039347877418418176
435,1039307565925105664
436,1039213363904110594
437,1039181027489529857
438,1039180198426673157
439,1039178306929618945
440,1039165964867301378
441,1039138718311796737
442,1039117176110641152
443,1039116371110584322
444,1039114403881410561
445,1039110326074011649
446,1039034925884862464
447,1039034146641858560
448,1039029432751509504
449,1038985500206555137
450,1038894844125503488
451,1038863238950268928
452,1038853284444950529
453,1038848594340659200
454,1038808480973348864
455,1038785990461145088
456,1038783335701479424
457,1038766238875303936
458,1038748273308311552
459,1038713612733304833
460,1038679839350378501
461,1038676031081656321
462,1038651593623781376
463,1038651437973155842
464,1038551260939485184
465,1038499841368711168
466,1038468468872437760
467,1038421454918803456
468,1038421449046982657
469,1038421430805905408
470,1038421415718924288
471,1038421342134005760
472,1038421340624248832
473,1038421322441916417
474,1038421263792971776
475,1038421263318962176
476,1038421219530366976
477,1038421215743016960
478,1038421162127253504
479,1038421143563259904
480,1038421132758503430
481,1038421127960309760
482,1038421116954583040
483,1038421109513830402
484,1038421089825640448
485,1038421074608906240
486,1038421074524827649
487,1038421020577808389
488,1038420987803521029
489,1038420985504911360
490,1038420984833794049
491,1038420981692461057
492,1038420933470502912
493,1038420896439037954
494,1038420893242933248
495,1038420881960312832
496,1038420872950771713
497,1038420849139884033
498,1038420836770881536
499,1038420827631304704
500,1038420826985574400
501,1038420826142339072
502,1038420821188861952
503,1038420791732236288
504,1038420776733605890
505,1038420731783262215
506,1038420707636649984
507,1038420700044898304
508,1038420698018902017
509,1038420691526320129
510,1038420677974478848
511,1038420659028852742
512,1038420650447327232
513,1038412224623247361
514,1038411756283092992
515,1038386908630540288
516,1038386899134636034
517,1038386255896051712
518,1038362198177968128
519,1038356320498331649
520,1038355408400744448
521,1038349494213984256
522,1038337910297092097
523,1038332327674273792
524,1038295932780130304
525,1038237258279776256
526,1038139408019406848
527,1038139122651521024
528,1038113976125542400
529,1038104378622627840
530,1038101777650991110
531,1038095940450693121
532,1038079463722897408
533,1038039906923237377
534,1038021490979958785
535,1037996170226819072
536,1037991651879411712
537,1037967716504809472
538,1037955375717339136
539,1037945124246839297
540,1037940830575554560
541,1037938411795968000
542,1037938333161336833
543,1037911154843156480
544,1037893535889014785
545,1037892602689814530
546,1037823343368564739
547,1037679073886007298
548,1037667076553375744
549,1037632770930102272
550,1037632766056091648
551,1037632764957188096
552,1037632753842511872
553,1037632699844849664
554,1037632694837026816
555,1037632652642267136
556,1037632605305413633
557,1037632543405748225
558,1037632542059454464
559,1037632525483552768
560,1037632423205457925
561,1037632421703901184
562,1037632408257011713
563,1037632390724825089
564,1037632390716432384
565,1037632383191793664
566,1037632374731956224
567,1037632309162328064
568,1037632302476677120
569,1037632291198119936
570,1037632289956671488
571,1037632273091309568
572,1037632270440513536
573,1037632260260814848
574,1037632246398771201
575,1037632168124731393
576,1037632152182157313
577,1037632078656020480
578,1037632074520387585
579,1037632037912502272
580,1037631964210061312
581,1037631943360299008
582,1037631874288345090
583,1037631860724166656
584,1037631847906324480
585,1037631821444313088
586,1037631799613186048
587,1037631756428558336
588,1037631754083942401
589,1037631720462249984
590,1037631697259507714
591,1037631627168501760
592,1037631568284508160
593,1037631535317495808
594,1037631500173246469
595,1037631485359153152
596,1037631469559132160
597,1037631467529154560
598,1037631458708471808
599,1037631384196710401
600,1037631332854231040
601,1037631292010102785
602,1037631251170119680
603,1037631249601454081
604,1037631222959276032
605,1037626976834469888
606,1037618228560838656
607,1037617188629372928
608,1037599283455909889
609,1037550976201306112
610,1037534645456396288
611,1037520784036528128
612,1037424205875355648
613,1037399997501722624
614,1037382167200915456
615,1037374326855671809
616,1037355011557154822
617,1037335824197734401
618,1037329501628321792
619,1037315251413438465
620,1037302523122659328
621,1037301504074366976
622,1037297173707272194
623,1037288380197875712
624,1037274374401810432
625,1037270454455529472
626,1037257258411978753
627,1037254164097556480
628,1037234543445438465
629,1037197605510500355
630,1037194745561399303
631,1037194126469550081
632,1037192475251814400
633,1037157532412739584
634,1037055168754470913
635,1037051686097805312
636,1037032542933839877
637,1037010460648894464
638,1037005480655245312
639,1036998558551949313
640,1036997070882852864
641,1036997069171515398
642,1036997065690284032
643,1036997052461408256
644,1036997028746747905
645,1036997009134309376
646,1036996995909443585
647,1036996974191542272
648,1036996971263942657
649,1036996964112642049
650,1036996891911888897
651,1036996886010449920
652,1036996855236894720
653,1036996840250437632
654,1036996831400652801
655,1036996825784492032
656,1036996819559956480
657,1036996817639141377
658,1036996808650764288
659,1036996791831539712
660,1036996767496261633
661,1036996767156301825
662,1036996752627441664
663,1036996740325539840
664,1036996709811929088
665,1036996222853292032
666,1036988839888396288
667,1036986263130255361
668,1036980890432200705
669,1036980699495124998
670,1036976000213688321
671,1036973906714738688
672,1036971931432636418
673,1036967181521772544
674,1036952030093496320
675,1036948457313861633
676,1036938796594393088
677,1036933053673693185
678,1036932661552603136
679,1036929560187678720
680,1036929445980983297
681,1036927042984468480
682,1036926635679698945
683,1036921418372415489
684,1036917821769478144
685,1036917517174812672
686,1036916220988088321
687,1036915291672862720
688,1036914311959064576
689,1036910512045342720
690,1036910339978354689
691,1036902643346694144
692,1036900717141913601
693,1036896026248921088
694,1036893182062092289
695,1036892679471329280
696,1036891350472552448
697,1036888954287661056
698,1036886200198389766
699,1036875854570250240
700,1036868594519298048
701,1036860162978373633
702,1036859140520505345
703,1036858546028273664
704,1036857915217518593
705,1036857348885626881
706,1036838094308356096
707,1036831482344624128
708,1036668107719409664
709,1036645029983350785
710,1036588801781641216
711,1036569011893334016
712,1036526323844427777
713,1036522818387636224
714,1036514831484968960
715,1036509121556537344
716,1036445988850814977
717,1036314814644215809
718,1036282884749975552
719,1036282882178908160
720,1036282873454776320
721,1036282865527476227
722,1036282856660783104
723,1036282850742624256
724,1036282848435732480
725,1036282837908025345
726,1036282824981180417
727,1036282812238913536
728,1036282802717769735
729,1036282801287581696
730,1036282801287516167
731,1036282798582231040
732,1036282788046151685
733,1036282785940598784
734,1036282785395367936
735,1036282767062040576
736,1036282753296343040
737,1036282750188302336
738,1036282749127208961
739,1036282734551949313
740,1036282733356638208
741,1036282716029734912
742,1036282704654991361
743,1036282699210792961
744,1036282691996577794
745,1036282665991843843
746,1036282664628539392
747,1036282657183879171
748,1036282657045393411
749,1036282654977536000
750,1036282638800117760
751,1036282636807729152
752,1036282629765484544
753,1036282628947763202
754,1036282627274235905
755,1036282626569424897
756,1036282621909655555
